check_item,finding,verdict,detail
C1 val split seed,split_engines(seed=42) 고정 — 모든 훈련 seed에 동일 검증셋,False,원본 버그: 5개 훈련 시드 전부에 동일한 20개 엔진이 검증셋으로 고정됨
C2 MIN_EPOCHS warmup,MIN_EPOCHS 존재: False — early stopping이 epoch 1부터 카운팅,False,원본 버그: patience=15이므로 15 epoch 안에 trivial solution이 수렴하면 즉시 종료
C3 MAX_EPOCHS,MAX_EPOCHS=100 (권장 300),False,원본: 100 epoch 상한 — trivial solution이 수렴해도 추가 탈출 기회 없음
C4 auxiliary loss,보조 loss 존재: False,False,원본 버그: 단일 MSELoss만 사용 → trivial solution 근방 gradient 매우 작음
C5 stacked LSTM (lstm1→lstm2 full seq),전체 시퀀스 전달: True,True,현재 코드는 올바름: lstm1 출력(모든 timestep)을 lstm2에 전달
C6 RUL label alignment,max_cycle - current_cycle으로 RUL 계산 후 clip(125),True,
C7 test zero-padding,앞쪽 zero-pad 존재: True,True,
C8 set_seed 완전성,random/numpy/torch seed 모두 설정: True,True,
C9 test RUL 1-based indexing,test RUL 1-based: True,True,
C10 normalization leakage,정규화를 train에만 fit: True,True,
